rooms,year_built,location,building_floor_num,garage,district,leasing,balcony,size_meters,door_type,apartment_floor_num,window_type,num_windows,floor_type
2 өрөө,2010,Бусад,15,Байхгүй,Баянзүрх,Банкны лизингтэй,1 тагттай,57.0,Бүргэд,15,Вакум,3,Паркет
3 өрөө,2019,Баянмонгол хороолол,12,Байхгүй,Баянзүрх,Лизинггүй,2 тагттай,72.1,Төмөр вакум,8,Вакум,3,Паркет
2 өрөө,2008,10-р хороолол,5,Байхгүй,Баянгол,Лизинггүй,Тагтгүй,54.0,Бүргэд,5,Вакум,3,Паркет
2 өрөө,2011,13-р хороолол,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,58.1,Бүргэд,7,Вакум,3,Паркет
1 өрөө,1990,13-р хороолол,9,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,18.0,Төмөр,1,Төмөр вакум,2,Цемент
2 өрөө,2014,10-р хороолол,10,Байхгүй,Баянгол,Банкны лизингтэй,1 тагттай,56.0,Бүргэд,6,Вакум,2,Паркет
4 өрөө,1988,1-р хороолол,5,Байхгүй,Сонгино Хайрхан,Лизинггүй,1 тагттай,48.0,Төмөр,5,Төмөр вакум,5,Паркет
1 өрөө,1990,"3, 4 хороолол",9,Байхгүй,Баянгол,Банкны лизингтэй,1 тагттай,40.0,Бүргэд,1,Вакум,2,Паркет
3 өрөө,2017,Бусад,12,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,53.0,Бүргэд,2,Вакум,5,Паркет
2 өрөө,2013,Баянмонгол хороолол,10,Байхгүй,Баянзүрх,Лизинггүй,1 тагттай,68.0,Төмөр вакум,7,Вакум,3,Паркет
